car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,present_price,mileage,selling_price
BMW 5,BMW,5,0,2000,Dealer,Diesel,Automatic,7793500,22.48,4850000
BMW 5,BMW,5,0,2000,Dealer,Diesel,Automatic,7793500,22.48,4850000
Mahindra KUV,Mahindra,KUV,0,30000,Individual,Petrol,Manual,765000,18.15,400000
Maruti Ignis,Maruti,Ignis,0,5000,Individual,Petrol,Manual,707430,20.89,550000
Maruti S-Presso,Maruti,S-Presso,0,5000,Individual,Petrol,Manual,519500,21.7,500000
Audi A6,Audi,A6,1,3000,Dealer,Petrol,Automatic,6721500,17.01,4600000
Audi Q7,Audi,Q7,1,4000,Dealer,Diesel,Automatic,8060000,14.75,6800000
BMW 5,BMW,5,1,15000,Dealer,Diesel,Automatic,8064000,18.59,5400000
BMW 6,BMW,6,1,5945,Dealer,Diesel,Automatic,8844500,17.09,5750000
BMW X3,BMW,X3,1,34000,Dealer,Diesel,Automatic,7722000,18.56,3500000
BMW Z4,BMW,Z4,1,2000,Dealer,Petrol,Automatic,8560000,11.29,8250000
Datsun GO,Datsun,GO,1,15000,Individual,Petrol,Manual,604000,19.02,560000
Datsun RediGO,Datsun,RediGO,1,1001,Dealer,Petrol,Automatic,499000,23,425000
Datsun redi-GO,Datsun,redi-GO,1,10000,Dealer,Petrol,Manual,451000,20.71,349000
Ford Ecosport,Ford,Ecosport,1,6000,Dealer,Diesel,Manual,1224500,23,1095000
Ford Ecosport,Ford,Ecosport,1,90000,Individual,Diesel,Manual,1228500,21.7,525000
Ford Freestyle,Ford,Freestyle,1,3957,Dealer,Petrol,Manual,786000,19,570000
Honda Amaze,Honda,Amaze,1,12000,Dealer,Petrol,Manual,847000,18.6,785000
Honda Amaze,Honda,Amaze,1,3000,Dealer,Petrol,Manual,847000,19.5,715000
Honda Amaze,Honda,Amaze,1,1800,Individual,Petrol,Manual,847000,19.5,720000
Honda Amaze,Honda,Amaze,1,10000,Individual,Petrol,Manual,870000,18.6,680000
Honda City,Honda,City,1,2000,Dealer,Petrol,Manual,1519208,17.8,1000000
Honda City,Honda,City,1,4386,Dealer,Petrol,Manual,1549000,17.4,1250000
Honda City,Honda,City,1,4600,Dealer,Petrol,Manual,1474000,17.8,1175000
Honda City,Honda,City,1,4500,Dealer,Petrol,Automatic,1474000,18.4,1570000
Honda City,Honda,City,1,4600,Dealer,Petrol,Manual,1430500,17.8,1165000
Honda Civic,Honda,Civic,1,1900,Dealer,Petrol,Automatic,2323500,16.5,2150000
Honda WR-V,Honda,WR-V,1,5000,Individual,Petrol,Manual,1031000,17.5,925000
Honda WR-V,Honda,WR-V,1,5000,Individual,Petrol,Manual,1031000,17.5,924000
Hyundai Aura,Hyundai,Aura,1,4500,Individual,Petrol,Manual,834000,20.5,900000
Hyundai Creta,Hyundai,Creta,1,15000,Individual,Diesel,Manual,1693000,22.1,1350000
Hyundai Creta,Hyundai,Creta,1,1500,Individual,Petrol,Manual,1571500,15.8,955000
Hyundai Grand,Hyundai,Grand,1,5000,Dealer,Petrol,Manual,707120,20.7,725000
Hyundai Grand,Hyundai,Grand,1,10000,Individual,Petrol,Automatic,728000,20.7,600000
Hyundai Grand,Hyundai,Grand,1,20000,Individual,Petrol,Manual,763000,20.7,650000
Hyundai Grand,Hyundai,Grand,1,15000,Individual,Petrol,Automatic,763000,20.7,650000
Hyundai Grand,Hyundai,Grand,1,5000,Individual,Petrol,Manual,707120,20.7,800000
Hyundai Grand,Hyundai,Grand,1,14000,Individual,Petrol,Automatic,764000,20.7,690000
Hyundai Grand,Hyundai,Grand,1,3800,Individual,Petrol,Manual,707120,20.7,600000
Hyundai Grand,Hyundai,Grand,1,1000,Individual,Petrol,Manual,703000,18.9,636000
Hyundai Grand,Hyundai,Grand,1,4350,Individual,Petrol,Manual,707120,20.7,725000
Hyundai Grand,Hyundai,Grand,1,5600,Individual,Petrol,Manual,707120,18.9,580000
Hyundai Grand,Hyundai,Grand,1,15000,Individual,Petrol,Manual,676000,18.9,511000
Hyundai i20,Hyundai,i20,1,72800,Dealer,Diesel,Manual,1081004,25.2,500000
Hyundai i20,Hyundai,i20,1,15000,Individual,Petrol,Manual,1045500,20.35,670000
Hyundai i20,Hyundai,i20,1,5000,Individual,Petrol,Automatic,1035000,17.4,730000
Hyundai i20,Hyundai,i20,1,7120,Individual,Petrol,Manual,1035000,18.6,690000
Hyundai i20,Hyundai,i20,1,20000,Individual,Petrol,Manual,1035000,20.35,640000
Hyundai i20,Hyundai,i20,1,15000,Individual,Petrol,Manual,1024000,20.35,660000
Hyundai i20,Hyundai,i20,1,20000,Individual,Petrol,Automatic,1034000,19.65,700000
Hyundai i20,Hyundai,i20,1,3700,Dealer,Petrol,Manual,1072000,18.6,765000
Hyundai Santro,Hyundai,Santro,1,1000,Dealer,Petrol,Automatic,640000,20.3,565000
Hyundai Santro,Hyundai,Santro,1,8268,Dealer,Petrol,Manual,640000,20.3,445000
Hyundai Santro,Hyundai,Santro,1,100,Individual,Petrol,Manual,630000,20.3,475000
Hyundai Santro,Hyundai,Santro,1,1780,Individual,Petrol,Manual,640500,20.3,520000
Hyundai Santro,Hyundai,Santro,1,3000,Individual,Petrol,Manual,621500,20.3,380000
Hyundai Santro,Hyundai,Santro,1,1000,Individual,Petrol,Automatic,626500,20.3,550000
Hyundai Santro,Hyundai,Santro,1,9668,Dealer,CNG,Manual,677000,30.48,540000
Hyundai Venue,Hyundai,Venue,1,5000,Dealer,Diesel,Manual,1192000,23.7,890000
Hyundai Venue,Hyundai,Venue,1,10000,Dealer,Diesel,Manual,1192000,23.7,1039000
Hyundai Venue,Hyundai,Venue,1,3200,Dealer,Petrol,Automatic,1107343,18.15,1240000
Hyundai Venue,Hyundai,Venue,1,4000,Dealer,Petrol,Automatic,1081500,18.15,1185000
Hyundai Venue,Hyundai,Venue,1,1200,Dealer,Petrol,Manual,1090500,18.27,1075000
Hyundai Venue,Hyundai,Venue,1,13000,Dealer,Petrol,Manual,1090500,18.27,995000
Hyundai Venue,Hyundai,Venue,1,7066,Dealer,Petrol,Automatic,1107343,18.15,1185000
Hyundai Venue,Hyundai,Venue,1,6000,Dealer,Petrol,Automatic,1107343,18.15,1230000
Hyundai Venue,Hyundai,Venue,1,6500,Dealer,Petrol,Manual,1107343,18.27,949000
Hyundai Venue,Hyundai,Venue,1,10000,Individual,Diesel,Manual,1106000,23.7,1000000
Hyundai Venue,Hyundai,Venue,1,2600,Individual,Petrol,Manual,1063500,18.27,950000
Hyundai Venue,Hyundai,Venue,1,5000,Individual,Petrol,Automatic,1028500,18.15,1100000
Hyundai Venue,Hyundai,Venue,1,5000,Individual,Petrol,Manual,1137000,18.27,1050000
